SPEECH,NAME,MOTION,RESPONSE,ORDER
.*持ち上げ.*て.*,{},,これですね,AGERU
.*持ち上げ.*て.*,,POINTING,これですね,AGERU
.*あ.*(る|りますか),{},,これですね,POINTING
.*(何|何ですか).*,,POINTING,{}です,
.*(どれ|どっち).*,{},,ここです,POINTING
.*(これ|あれ).*好き.*(ですか),,POINTING,はい{}好きです,
.*何.*(したい).*,,,{}で遊ぼう,AGERU
.*知ってますか.*,{},,{}ですね,POINTING
^$,,MAWASU,{}で遊んでいるんですね。,
.*嫌い.*(ですか),,POINTING,はい{}嫌いです,
.*回して.*,{},,{}これですね。,MAWASU
.*どれが.*(いい|欲しい).*ですか.*,,,{}がいいです。,POINTING
.*回して.*,,POINTING,これですね,MAWASU
.*取って.*,{},,いいですよ,AGERU
.*取って.*,,POINTING,いいですよ,AGERU
.*指さして.*,{},,これですね,POINTING
.*分か.*,{},,分かります,POINTING
.*これ.*分か.*,,POINTING,{}ですね,
.*持って.*,{},,いいですよ,AGERU
.*持って.*,,POINTING,いいですよ,AGERU
^$,,SAGERU,{}置きましたね,
.*重そう.*,{},,持ってみますか,AGERU
.*軽そう.*,{},,持ってみますか,AGERU
.*固そう.*,{},,持ってみますか,AGERU
.*柔らかそう.*,{},,持ってみますか,AGERU
.*重そう.*,,POINTING,持ってみますか,AGERU
.*軽そう.*,,POINTING,持ってみますか,AGERU
.*固そう.*,,POINTING,持ってみますか,AGERU
.*柔らかそう.*,,POINTING,持ってみますか,AGERU
.*(暑|熱)そう.*,{},,持ってみますか,AGERU
.*(暑|熱)そう.*,,POINTING,持ってみますか,AGERU
.*冷たそう.*,{},,持ってみますか,AGERU
.*冷たそう.*,,POINTING,持ってみますか,AGERU
.*置いて.*,{},,分かりました,SAGERU
.*置いて.*,,POINTING,分かりました,SAGERU
