SPEECH,NAME,MOTION,RESPONSE,ORDER
.*(これ何|なに|何ですか).*,,POINTING,{}です,
.*(これ|あれ).*好き.*(ですか),,POINTING,はい{}好きです,
.*何.*(したい).*,,,{}で遊ぼう,
.*嫌い.*(ですか),,POINTING,はい{}嫌いです,
.*これ.*分か.*,,POINTING,{}ですね,
.*これ.*わか.*,,POINTING,{}ですね,
.*持ち上げ.*て.*,{},,{}これですね,AGERU
.*持ち上げ.*て.*,,POINTING,{}これですね,AGERU
.*ありますか.*,{},,{}これですね,POINTING
.*(どれ|どっち|どこ).*,{},,{}はここです,POINTING
.*これ.*好き.*(ですか),,POINTING,はい{}好きです,
.*何.*したい.*,,,{}で遊ぼう,AGERU
.*知ってますか.*,{},,{}知っています。,POINTING
.*知っていますか.*,{},,{}知っています。,POINTING
.*回して.*,{},,{}これですね。,MAWASU
.*回して.*,,POINTING,{}これですね,MAWASU
.*どれが.*(いい|欲しい).*ですか.*,,,{}がいいです。,POINTING
.*回して.*,,POINTING,{}これですね,MAWASU
.*取って.*,{},,{}ですね。いいですよ,AGERU
.*取って.*,,POINTING,{}ですね。いいですよ,AGERU
.*指差して.*,{},,{}はこれですね,POINTING
.*分か.*,{},,{}は分かります,POINTING
.*持って.*,{},,{}いいですよ,AGERU
.*持って.*,,POINTING,{}いいですよ,AGERU
.*重そう.*,{},,{}持ってみますか,AGERU
.*軽そう.*,{},,{}持ってみますか,AGERU
.*固そう.*,{},,{}持ってみますか,AGERU
.*柔らかそう.*,{},,{}持ってみますか,AGERU
.*重そう.*,,POINTING,{}持ってみますか,AGERU
.*軽そう.*,,POINTING,{}持ってみますか,AGERU
.*固そう.*,,POINTING,{}持ってみますか,AGERU
.*柔らかそう.*,,POINTING,{}持ってみますか,AGERU
.*(暑|熱)そう.*,{},,{}持ってみますか,AGERU
.*(暑|熱)そう.*,,POINTING,{}持ってみますか,AGERU
.*冷たそう.*,{},,{}持ってみますか,AGERU
.*冷たそう.*,,POINTING,{}持ってみますか,AGERU
.*置いて.*,{},,{}分かりました,SAGERU
.*置いて.*,,POINTING,{}分かりました,SAGERU
.*おいし(い|ん).*(よね|だよね),{},,{}おいしいですよね,
.*好き.*(なんだよね),{},,{}が好きなんですよね,
.*ころがる.*,{},,{}は、転がるんですね,
.*おいし(い|ん).*(よね|だよね),,POINTING,{}おいしいですよね,
.*好き.*(なんだよね),,POINTING,{}が好きなんですよね,
.*(ころ|転)がる.*,,POINTING,{}は、転がるんですね,
